"season","Date","Visitor","G","Home","G","Var.7","Att.","LOG","Notes","playoffs"
1950,"1950-03-21","Chicago Black Hawks","6","New York Rangers","3","","","","",0
1950,"1950-03-22","Chicago Black Hawks","7","Boston Bruins","5","","","","",0
1950,"1950-03-22","New York Rangers","7","Detroit Red Wings","8","","","","",0
1950,"1950-03-22","Montreal Canadiens","2","Toronto Maple Leafs","1","","","","",0
1950,"1950-03-25","Chicago Black Hawks","0","Montreal Canadiens","4","","","","",0
1950,"1950-03-25","Boston Bruins","0","Toronto Maple Leafs","8","","","","",0
1950,"1950-03-26","Montreal Canadiens","3","Boston Bruins","3","","","","",0
1950,"1950-03-26","Chicago Black Hawks","5","Detroit Red Wings","4","","","","",0
1950,"1950-03-26","Toronto Maple Leafs","3","New York Rangers","5","","","","",0
1950,"1950-03-28","Toronto Maple Leafs","5","Detroit Red Wings","0","","","","",1
1950,"1950-03-29","Montreal Canadiens","1","New York Rangers","3","","","","",1
1950,"1950-03-30","Toronto Maple Leafs","1","Detroit Red Wings","3","","","","",1
1950,"1950-04-01","New York Rangers","3","Montreal Canadiens","2","","","","",1
1950,"1950-04-01","Detroit Red Wings","0","Toronto Maple Leafs","2","","","","",1
1950,"1950-04-02","Montreal Canadiens","1","New York Rangers","4","","","","",1
1950,"1950-04-04","New York Rangers","2","Montreal Canadiens","3","OT","","","",1
1950,"1950-04-04","Detroit Red Wings","2","Toronto Maple Leafs","1","2OT","","","",1
1950,"1950-04-06","Toronto Maple Leafs","2","Detroit Red Wings","0","","","","",1
1950,"1950-04-06","New York Rangers","3","Montreal Canadiens","0","","","","",1
1950,"1950-04-08","Detroit Red Wings","4","Toronto Maple Leafs","0","","","","",1
1950,"1950-04-09","Toronto Maple Leafs","0","Detroit Red Wings","1","OT","","","",1
1950,"1950-04-11","New York Rangers","1","Detroit Red Wings","4","","","","",1
1950,"1950-04-13","Detroit Red Wings","1","New York Rangers","3","","","","Moved to Toronto for circus at MSG",1
1950,"1950-04-15","Detroit Red Wings","4","New York Rangers","0","","","","Moved to Toronto for circus at MSG",1
1950,"1950-04-18","New York Rangers","4","Detroit Red Wings","3","OT","","","",1
1950,"1950-04-20","New York Rangers","2","Detroit Red Wings","1","OT","","","",1
1950,"1950-04-22","New York Rangers","4","Detroit Red Wings","5","","","","",1
1950,"1950-04-23","New York Rangers","3","Detroit Red Wings","4","2OT","","","",1
1951,"1950-10-11","New York Rangers","2","Detroit Red Wings","3","","","","",0
1951,"1950-10-12","Chicago Black Hawks","3","Montreal Canadiens","3","","","","",0
1951,"1950-10-14","Boston Bruins","1","Montreal Canadiens","1","","","","",0
1951,"1950-10-14","Chicago Black Hawks","2","Toronto Maple Leafs","1","","","","",0
1951,"1950-10-15","Montreal Canadiens","2","Boston Bruins","1","","","","",0
1951,"1950-10-15","New York Rangers","3","Chicago Black Hawks","2","","","","",0
1951,"1950-10-15","Toronto Maple Leafs","4","Detroit Red Wings","4","","","","",0
1951,"1950-10-18","Toronto Maple Leafs","2","Boston Bruins","0","","","","",0
1951,"1950-10-19","New York Rangers","0","Montreal Canadiens","4","","","","",0
1951,"1950-10-21","Detroit Red Wings","0","Montreal Canadiens","2","","","","",0
1951,"1950-10-21","New York Rangers","0","Toronto Maple Leafs","5","","","","",0
